nom,prix,adresse,image_lien
Chiots Bichon Maltais,150000.0,"Lac rose, Sénégal",https://images.coinafrique.com/thumb_4491233_uploaded_image1_1702048768.jpg
Chiot Malinois,275.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4482375_uploaded_image1_1701548723.jpg
Chiot Rottweiler,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4482373_uploaded_image1_1701548572.jpg
Chiot Malinois,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4463659_uploaded_image1_1700349992.jpg
Chiot Caniche,150000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456414_uploaded_image1_1699894532.jpg
Femelles Bichon Maltais,170000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4436255_uploaded_image1_1698705740.jpg
Chien Berger Allemand,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4413898_uploaded_image1_1697111822.jpg
Chien Berger Allemand,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4413893_uploaded_image1_1697111712.jpg
Chien,300000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4413890_uploaded_image1_1697111604.jpg
Chiot Bichon,180000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4405915_uploaded_image1_1696611971.jpg
Chiots Bichon Maltais,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4405536_uploaded_image1_1696594762.jpg
Chiot Caniche,120000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4404913_uploaded_image1_1696555140.jpg
Chien Malinois,130000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4399201_uploaded_image1_1696256233.jpg
Chiot Berger allemand,300000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4396584_uploaded_image1_1696077607.jpg
Chiot Bichon Maltais,180000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4396239_uploaded_image1_1696044813.jpg
Chiot Bichon femelle,160000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4391785_uploaded_image1_1695736409.jpg
Chiots Husky,400000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4390232_uploaded_image1_1695643427.jpg
Chiot Bichon,180000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4380821_uploaded_image1_1694998874.jpg
Chiots  Berger Malinois,170000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4375184_uploaded_image1_1694613400.jpg
Chiots Berger Allemand,150000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4372068_uploaded_image1_1694433846.jpg
Chiot Berger Allemand,300000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4364394_uploaded_image1_1693936965.jpg
Chiot Labrador,600000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4362528_uploaded_image1_1693831725.jpg
Chiot Bichon,160000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4359376_uploaded_image1_1693588268.jpg
Chiots Bichons,150000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4349193_uploaded_image1_1692908102.jpg
Chiots Berger Malinois,140000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4347191_uploaded_image1_1692800036.jpg
Chiot Malinois,225000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4347159_uploaded_image1_1692798815.jpg
Chiots,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4344699_uploaded_image1_1692644593.jpg
Chiots Bichons,150.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4330247_uploaded_image1_1691686832.jpg
Chiots  Malinois,225000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4318517_uploaded_image1_1690980921.jpg
Chiots berger allemand,180000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4315045_uploaded_image1_1690773274.jpg
Chiots Bichons,150000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4314748_uploaded_image1_1690747602.jpg
Chiot Malinois,200000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4312162_uploaded_image1_1690550986.jpg
Chiot  Bichon nain,200000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4311860_uploaded_image1_1690537675.jpg
Chiot Bichon,150000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4307889_uploaded_image1_1690298114.jpg
Chiot Cane Corso,400000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4300394_uploaded_image1_1689770783.jpg
Chiot  Berger Allemand,200000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_4296542_uploaded_image1_1689515237.jpg
Chiots Cane Corso,350000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4295604_uploaded_image1_1689430034.jpg
Chiots  Akita japonaise,850000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4294289_uploaded_image1_1689338730.jpg
Chiens Malinois,250000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4290173_uploaded_image1_1689087809.jpg
Chiot Berger Allemand,350000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5016564_uploaded_image1_1730217865.jpg
Chiots Berger Allemand,250000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5013765_uploaded_image1_1730056659.jpg
Chiot Berger Allemand,130000.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5006641_uploaded_image1_1729624663.jpg
Chiot Rottweiler,250.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5004868_uploaded_image1_1729539442.jpg
Berger allemand femelle,155000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_4996897_uploaded_image1_1729087539.jpg
Chiot Bichon Maltais,300000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993670_uploaded_image1_1728931466.jpg
